Run,TiO2 (kg),Kaolin (kg),PVA (l),Viscosity (cP),Cost(20L),PBR
1,0.625,0.3011345,1.3,1198,"13,189.27",4.1
2,0.75,0.1,1.2,884,"11,558.00",4.39
3,0.5,0.1,1.2,1030,"9,308.00",4.23
4,0.835224,0.175,1.3,1008,"12,731.02",4.15
5,0.5,0.1,1.4,943,"10,108.00",3.63
6,0.625,0.0488655,1.3,630,"10,828.91",3.95
7,0.625,0.175,1.3,605,"10,839.00",4.02
8,0.625,0.175,1.3,387,"10,839.00",4.02
9,0.5,0.25,1.4,342,"10,120.00",3.71
10,0.625,0.175,1.131821,360,"10,166.28",4.62
11,0.75,0.1,1.4,600,"12,358.00",3.76
12,0.625,0.175,1.3,558,"10,839.00",4.02
13,0.625,0.175,1.468179,805,"11,511.72",3.56
14,0.5,0.25,1.2,840,"9,320.00",4.33
15,0.625,0.175,1.3,556,"10,839.00",4.02
16,0.75,0.25,1.2,679,"11,570.00",4.49
17,0.625,0.175,1.3,960,"10,839.00",4.02
18,0.625,0.175,1.3,665,"10,839.00",4.02
19,0.414776,0.175,1.3,408,"8,946.98",3.9
20,0.75,0.25,1.4,555,"12,370.00",3.85
